Count of defect points in format 'row_id,column_id': 67
57,389
160,467
284,1031
351,784
356,453
375,748
400,580
401,472
420,1391
435,72
449,520
487,1278
496,1017
520,1110
559,991
560,1184
575,832
578,433
595,5
621,719
656,178
667,26
676,1101
680,596
683,1429
697,1162
702,1215
706,905
723,767
753,1256
765,1011
787,938
812,1088
815,314
838,1104
865,1462
894,975
896,517
899,1055
905,1176
939,1308
945,655
957,1170
958,881
959,881
991,971
1013,494
1022,981
1042,1407
1052,999
1055,905
1095,297
1116,1177
1117,142
1122,497
1182,313
1184,338
1185,921
1201,906
1218,379
1221,664
1288,11
1328,1384
1347,971
1408,748
1423,1148
1497,393
Count of defect rows in format 'row_id': 0
Count of defect columns in format 'column_id': 0
